cd	track	track_title	recording_title	chorale	recording_id		cd	track	title	bwv	text		playlist_position	Song	Artist	Popularity	BPM	Genres	Album	Album Date	Time	Dance	Energy	Acoustic	Instrumental	Happy	Speech	Live	Loud (Db)	Key	Time Signature	Added At	Spotify Track Id	Album Label	Camelot	ISRC
5	8	Alle Menschen müssen sterben (Cantata BWV162)	Alle Menschen müssen sterben, Cantata BWV 162	18	4dac9f80-29f4-47b1-afdd-ee180ea8ffb1		3	6	Alle Menschen müssen sterben	162	Alle Menschen müssen sterben		210	Alle Menschen müssen sterben (Cantata, BWV 162)	Johann Sebastian Bach,Chamber Choir Of Europe,Nicol Matt	1	75	classical, classical piano, choral, requiem	Choral Classics: Bach (Chorales), Vol. 3/3	2011-00-00	01:10	15	19	89	0	11	0	10	-19	G#/A♭ Minor	3	2024-07-26	4dqdorCqMoxARX0feHTrRD	undefined	1A	NLY331107246
3	1	Als der gütige Gott BWV264	Als der gütige Gott, BWV 264	20	6cfd7455-bdaf-48d0-a51d-72b6f6e6ca52		2	3	Als der gütige Gott	264	Als der gütige Gott		105	Als der gütige Gott, BWV 264	Johann Sebastian Bach,Chamber Choir Of Europe,Nicol Matt	2	96	classical, classical piano, choral, requiem	Choral Classics: Bach (Chorales), Vol. 2/3	2011-00-00	01:04	19	18	97	0	43	0	10	-17	F#/G♭ Major	3	2024-07-26	0vzsSd2LOWcdW37qT8TzK1	undefined	2B	NLY331107141
4	3	Als Jesus Christus in der Nacht BWV265	Als Jesu Christus in der Nacht, BWV 265	21	722ae0ae-6e03-4c79-b1e0-02a364bc436f		2	46	Als Jesus Christus in der Nacht	265	Als Jesus Christus in der Nacht		148	Als Jesus Christus in der Nacht, BWV 265	Johann Sebastian Bach,Chamber Choir Of Europe,Nicol Matt	1	80	classical, classical piano, choral, requiem	Choral Classics: Bach (Chorales), Vol. 2/3	2011-00-00	01:29	12	14	94	1	29	0	20	-20	C♯/D♭ Minor	1	2024-07-26	4I0fRY6dkEJtyFc2INSdUd	undefined	12A	NLY331107184
4	4	An Wasserflüssen Babylon BWV267	An Wasserflüssen Babylon, BWV 267	23	c41f00a0-ff13-4d3f-aa9f-22d7440cf464		2	47	An Wasserflüssen Babylon	267	An Wasserflüssen Babylon		149	An Wasserflüssen Babylon, BWV 267	Johann Sebastian Bach,Chamber Choir Of Europe,Nicol Matt	1	74	classical, classical piano, choral, requiem	Choral Classics: Bach (Chorales), Vol. 2/3	2011-00-00	01:21	31	12	88	0	30	0	10	-21	F#/G♭ Major	4	2024-07-26	2tVlbYItROTNUpEwqawHf8	undefined	2B	NLY331107185
5	9	Auf, auf, mein Herz, und du mein ganzer Sinn BWV268	Auf, auf, mein Herz, und du mein ganzer Sinn, BWV 268	24	ca1c23fa-466a-42f4-b875-fffe7c33b8ec		3	7	Auf, auf, mein Herz, und du mein ganzer Sinn	268	Auf, auf, mein Herz, und du mein ganzer Sinn		211	Auf, auf, mein Herz, und du mein ganzer Sinn, BWV 268	Johann Sebastian Bach,Chamber Choir Of Europe,Nicol Matt	1	84	classical, classical piano, choral, requiem	Choral Classics: Bach (Chorales), Vol. 3/3	2011-00-00	00:45	23	9	94	0	60	0	10	-22	F#/G♭ Major	3	2024-07-26	7wywh75sAcMMCZfuqf2f8d	undefined	2B	NLY331107247
5	10	Auf meinen lieben Gott (Cantata BWV188)	Auf meinen lieben Gott, Cantata BWV 188	25	c7197014-16db-45a4-9966-04773d91969c		3	8	Auf meinen lieben Gott	188	Auf meinen lieben Gott		212	Auf meinen lieben Gott (Cantata, BWV 188)	Johann Sebastian Bach,Chamber Choir Of Europe,Nicol Matt	1	82	classical, classical piano, choral, requiem	Choral Classics: Bach (Chorales), Vol. 3/3	2011-00-00	00:50	30	11	92	97	26	0	10	-18	B Major	4	2024-07-26	1vB4usPuJeflXACpNyBmNm	undefined	1B	NLY331107248
5	11	Auf meinen lieben Gott (Cantata BWV89)	Auf meinen lieben Gott, Cantate BWV 89	26	e91fa7d6-2ec4-4a22-98a7-667fc1a18817		3	9	Auf meinen lieben Gott	89	Auf meinen lieben Gott		213	Auf meinen lieben Gott (Cantate, BWV 89)	Johann Sebastian Bach,Chamber Choir Of Europe,Nicol Matt	2	97	classical, classical piano, choral, requiem	Choral Classics: Bach (Chorales), Vol. 3/3	2011-00-00	01:15	22	22	97	0	19	0	10	-18	A Major	4	2024-07-26	05xUPc4u8yq2Or2nunVIgA	undefined	11B	NLY331107249
5	12	Auf meinen lieben Gott (Cantata BWV5)	Auf meinen lieben Gott, Cantata BWV 5	28	0ff983dc-1628-491c-a399-009e8f0ba428		3	10	Auf meinen lieben Gott	5	Auf meinen lieben Gott		214	Auf meinen lieben Gott (Cantata, BWV 5)	Johann Sebastian Bach,Chamber Choir Of Europe,Nicol Matt	1	87	classical, classical piano, choral, requiem	Choral Classics: Bach (Chorales), Vol. 3/3	2011-00-00	00:50	23	13	96	0	18	0	30	-19	A Major	4	2024-07-26	3UYBVhEf0OFG2rppVPDsc3	undefined	11B	NLY331107250
5	13	Auf meinen lieben Gott (Cantata BWV148)	Auf meinen lieben Gott, Cantate BWV 148	29	83a82f36-81d5-4a22-8fd9-c9f4ecb19290		3	11	Auf meinen lieben Gott	148	Auf meinen lieben Gott		215	Auf meinen lieben Gott (Cantate, BWV 148)	Johann Sebastian Bach,Chamber Choir Of Europe,Nicol Matt	1	80	classical, classical piano, choral, requiem	Choral Classics: Bach (Chorales), Vol. 3/3	2011-00-00	00:45	20	6	93	0	25	0	10	-23	G#/A♭ Major	1	2024-07-26	1nRYsqIZlYq8wj7SD4Yghu	undefined	4B	NLY331107251
5	14	Aus meines Herzens Grunde BWV269	Aus meines Herzens Grunde, BWV 269	30	5d43a970-4140-4053-8535-6372d668cf9d		3	12	Aus meines Herzens Grunde	269	Aus meines Herzens Grunde		216	Aus meines Herzens Grunde, BWV 269	Johann Sebastian Bach,Chamber Choir Of Europe,Nicol Matt	1	104	classical, classical piano, choral, requiem	Choral Classics: Bach (Chorales), Vol. 3/3	2011-00-00	00:48	28	20	98	0	60	0	10	-18	F#/G♭ Major	3	2024-07-26	7nILFjoOw2qMWz6MYFpVTT	undefined	2B	NLY331107252
5	15	Aus tiefer Noth schrei ich zu dir (Cantata BWV38)	Aus tiefer Noth schrei ich zu dir, Cantata BWV 38	31	6bf4eb56-55e7-410a-8c8d-a6ec8bcf0e04		3	13	Aus tiefer Noth schrei ich zu dir	38	Aus tiefer Noth schrei ich zu dir		217	Aus tiefer Noth schrei ich zu dir (Cantata, BWV 38)	Johann Sebastian Bach,Chamber Choir Of Europe,Nicol Matt	2	77	classical, classical piano, choral, requiem	Choral Classics: Bach (Chorales), Vol. 3/3	2011-00-00	02:13	23	10	93	20	14	0	10	-21	G#/A♭ Minor	4	2024-07-26	2vp0YiaJ5TOm5dPwN8V1K6	undefined	1A	NLY331107253
5	16	Befiehl du deine Wege BWV272	Befiehl du deine Wege, BWV 272	32	15507800-46ff-4eee-ae12-f0f68974f6dd		3	14	Befiehl du deine Wege	272	Befiehl du deine Wege		218	Befiehl du deine Wege, BWV 272	Johann Sebastian Bach,Chamber Choir Of Europe,Nicol Matt	1	87	classical, classical piano, choral, requiem	Choral Classics: Bach (Chorales), Vol. 3/3	2011-00-00	01:03	17	13	91	0	11	0	10	-22	E Major	3	2024-07-26	4NPEhwCuKtkP8q37NX2hzW	undefined	12B	NLY331107254
5	17	Christ, der du bist der helle Tag BWV273	Christ, der du bist der helle Tag, BWV 275	33	565048ce-d9cf-4cdf-a462-8370def8f6fe		3	15	Christ, der du bist der helle Tag	273	Christ, der du bist der helle Tag		219	Christ, der du bist der helle Tag, BWV 273	Johann Sebastian Bach,Chamber Choir Of Europe,Nicol Matt	1	82	classical, classical piano, choral, requiem	Choral Classics: Bach (Chorales), Vol. 3/3	2011-00-00	00:40	21	11	96	2	44	0	10	-19	A Major	3	2024-07-26	5x45U55olQBUcp7xTw9F5F	undefined	11B	NLY331107255
5	18	Christe, der du bist Tag und Licht BWV274	Christe, der du bist Tag und Licht, BWV 274	34	bcd3f33f-7372-49db-84ac-d6ea0f663f6a		3	16	Christe, der du bist Tag und Licht	274	Christe, der du bist Tag und Licht		220	Christe, der du bist Tag und Licht, BWV 274	Johann Sebastian Bach,Chamber Choir Of Europe,Nicol Matt	1	72	classical, classical piano, choral, requiem	Choral Classics: Bach (Chorales), Vol. 3/3	2011-00-00	01:06	30	13	90	0	36	0	10	-23	F#/G♭ Minor	4	2024-07-26	28Y016F2Wd93tW8mhq0MYr	undefined	11A	NLY331107256
5	19	Christe, du Beistand deiner Kreuzgemeinde BWV275	Christe, du beistand deiner Kreuzgemeinde, BWV 275	35	f566c96b-26b3-4cd6-9d70-bdfbcc438d4b		3	17	Christe, du Beistand deiner Kreuzgemeinde	275	Christe, du Beistand deiner Kreuzgemeinde		221	Christe, du Beistand deiner Kreuzgemeinde, BWV 275	Johann Sebastian Bach,Chamber Choir Of Europe,Nicol Matt	1	129	classical, classical piano, choral, requiem	Choral Classics: Bach (Chorales), Vol. 3/3	2011-00-00	01:07	22	8	85	2	19	0	10	-20	C♯/D♭ Minor	4	2024-07-26	7kmiGBY58OYsEndhQ9jZzx	undefined	12A	NLY331107257
4	5	Christ ist erstanden BWV276	Christ ist erstanden, BWV 276	36	b465c89d-2baf-40ea-bed5-48ede9a25f5c		2	48	Christ ist erstanden	276	Christ ist erstanden		150	Christ ist erstanden, BWV 276	Johann Sebastian Bach,Chamber Choir Of Europe,Nicol Matt	1	76	classical, classical piano, choral, requiem	Choral Classics: Bach (Chorales), Vol. 2/3	2011-00-00	01:49	21	10	77	0	41	0	10	-25	C♯/D♭ Minor	4	2024-07-26	4uhrc7tOJgCvpt6s0OgGdZ	undefined	12A	NLY331107186
4	6	Christ ist erstanden (Cantata BWV66)	Christ ist erstanden, Cantata BWV 66	37	7ffa2392-9ee8-4985-b2a7-1f4672ab75c5		2	49	Christ ist erstanden	66	Christ ist erstanden		151	Christ ist erstanden (Cantata, BWV 66)	Johann Sebastian Bach,Chamber Choir Of Europe,Nicol Matt	1	81	classical, classical piano, choral, requiem	Choral Classics: Bach (Chorales), Vol. 2/3	2011-00-00	00:41	23	13	97	0	20	0	30	-18	G#/A♭ Major	4	2024-07-26	5N7G20qwqZvqGnUY2WiolX	undefined	4B	NLY331107187
4	7	Christ lag in Todesbanden BWV277	Christ lag in Todesbanden, BWV 277	38	d6466ebd-c584-4f41-9c2d-52c3f19cf440		2	50	Christ lag in Todesbanden	277	Christ lag in Todesbanden		152	Christ lag in Todesbanden, BWV 277	Johann Sebastian Bach,Chamber Choir Of Europe,Nicol Matt	1	0	classical, classical piano, choral, requiem	Choral Classics: Bach (Chorales), Vol. 2/3	2011-00-00	01:09	0	16	93	0	0	0	10	-19	C♯/D♭ Minor	0	2024-07-26	269EcDz3dsmzImKP3V1r71	undefined	12A	NLY331107188
4	8	Christ lag in Todesbanden BWV278	Christ lag in Todesbanden, BWV 278	39	1f705286-a944-4301-8042-7f4bb12e157a		2	51	Christ lag in Todesbanden	278	Christ lag in Todesbanden		153	Christ lag in Todesbanden, BWV 278	Johann Sebastian Bach,Chamber Choir Of Europe,Nicol Matt	1	88	classical, classical piano, choral, requiem	Choral Classics: Bach (Chorales), Vol. 2/3	2011-00-00	01:05	22	13	91	0	29	0	10	-21	A#/B♭ Minor	3	2024-07-26	41SQoMDb3NapYp3FYZEePn	undefined	3A	NLY331107189
4	9	Christ lag in Todesbanden BWV279	Christ lag in Todesbanden, BWV 279	40	b3064346-2811-483e-9402-3ab80f2e90c2		2	52	Christ lag in Todesbanden	279	Christ lag in Todesbanden		154	Christ lag in Todesbanden, BWV 279	Johann Sebastian Bach,Chamber Choir Of Europe,Nicol Matt	1	84	classical, classical piano, choral, requiem	Choral Classics: Bach (Chorales), Vol. 2/3	2011-00-00	00:59	27	16	93	0	30	0	10	-17	D#/E♭ Minor	4	2024-07-26	6RVgmnioi6EhPDTV3lRSw3	undefined	2A	NLY331107190
4	10	Christ lag in Todesbanden (Cantata BWV4)	Christ lag in Todesbanden, Cantata BWV 4	41	82b49b79-a454-47ca-a046-44f7e0be374b		2	53	Christ lag in Todesbanden	4	Christ lag in Todesbanden		155	Christ lag in Todesbanden (Cantata, BWV 4)	Johann Sebastian Bach,Chamber Choir Of Europe,Nicol Matt	1	74	classical, classical piano, choral, requiem	Choral Classics: Bach (Chorales), Vol. 2/3	2011-00-00	01:07	16	17	95	0	24	0	10	-18	D#/E♭ Minor	4	2024-07-26	2kBHeyD7ClWWH3tvHy7Jtv	undefined	2A	NLY331107191
5	20	Christ, unser Herr, zum Jordan kam BWV280	Christ, unser Herr, zum Jordan kam, BWV 280	43	fd83880b-44b7-42a8-b9f2-5e83b3e71a3b		3	18	Christ, unser Herr, zum Jordan kam	280	Christ, unser Herr, zum Jordan kam		222	Christ, unser Herr, zum Jordan kam, BWV 280	Johann Sebastian Bach,Chamber Choir Of Europe,Nicol Matt	1	74	classical, classical piano, choral, requiem	Choral Classics: Bach (Chorales), Vol. 3/3	2011-00-00	01:11	11	13	81	92	38	0	10	-21	G#/A♭ Minor	1	2024-07-26	3GOdBT6Bzzc3SdLKZMzWtY	undefined	1A	NLY331107258
5	21	Christ, unser Herr, zum Jordan kam (Cantata BWV176)	Christ, unser Herr, zum Jordan kam, Cantata BWV 176	45	1e615e6d-8f9d-439d-9be3-443b6f865184		3	19	Christ, unser Herr, zum Jordan kam	176	Christ, unser Herr, zum Jordan kam		223	Christ, unser Herr, zum Jordan kam (Cantata, BWV 176)	Johann Sebastian Bach,Chamber Choir Of Europe,Nicol Matt	1	78	classical, classical piano, choral, requiem	Choral Classics: Bach (Chorales), Vol. 3/3	2011-00-00	02:07	15	14	95	2	25	0	10	-20	B Minor	3	2024-07-26	04artdc9DQ2UCMbUxAEpuU	undefined	10A	NLY331107259
5	22	Christus, der ist mein Leben BWV281	Christus, der ist mein Leben, BWV 281	46	cf179fc8-80de-4953-987a-574fddc3ce9f		3	20	Christus, der ist mein Leben	281	Christus, der ist mein Leben		224	Christus, der ist mein Leben, BWV 281	Johann Sebastian Bach,Chamber Choir Of Europe,Nicol Matt	3	136	classical, classical piano, choral, requiem	Choral Classics: Bach (Chorales), Vol. 3/3	2011-00-00	00:35	25	7	92	0	33	0	10	-19	E Major	4	2024-07-26	34MatE9XRx7D14vH3GSWCx	undefined	12B	NLY331107260
5	23	Christus, der ist mein Leben BVW282	Christus, der ist mein Leben, BWV 282	47	7face35d-fdb1-4f45-aff6-180c1dba6bdd		3	21	Christus, der ist mein Leben BVW282.mp3		Christus, der ist mein Leben BVW282.mp3		225	Christus, der ist mein Leben BVW282	Johann Sebastian Bach,Chamber Choir Of Europe,Nicol Matt	1	69	classical, classical piano, choral, requiem	Choral Classics: Bach (Chorales), Vol. 3/3	2011-00-00	00:43	15	9	94	0	15	0	10	-20	F#/G♭ Major	3	2024-07-26	67oOXpBZa0Uq3IIqtcqqa9	undefined	2B	NLY331107261
4	11	Christus, der uns selig macht ZBWV283)	Christus, der uns selig macht, BWV 285	48	92798cf2-8337-4d6e-908d-da01d3d04310		2	54	Christus, der uns selig macht		Christus, der uns selig macht		156	Christus, der uns selig macht (BWV 283)	Johann Sebastian Bach,Chamber Choir Of Europe,Nicol Matt	1	74	classical, classical piano, choral, requiem	Choral Classics: Bach (Chorales), Vol. 2/3	2011-00-00	01:08	22	16	91	0	41	0	20	-20	B Major	4	2024-07-26	4A11mZKJrK9UqLgWoO1JEI	undefined	1B	NLY331107192
4	12	Christus, der uns selig macht (Johannes-Passion BWV245)	Christus, der uns selig macht, St. John Passion BWV 245	49	0ac512c8-86a7-4ec0-9e90-1d06bacfdf9a		2	55	Christus, der uns selig macht, Pt. 1	245	Christus, der uns selig macht, Pt. 1		157	Christus, der uns selig macht, Pt. 1 (St John Passion, BWV 245)	Johann Sebastian Bach,Chamber Choir Of Europe,Nicol Matt	0	0	classical, classical piano, choral, requiem	Choral Classics: Bach (Chorales), Vol. 2/3	2011-00-00	01:07	0	14	89	73	0	0	10	-18	G#/A♭ Minor	0	2024-07-26	5ajaSUAvwES0VtzRm8Jjmq	undefined	1A	NLY331107193
4	13	Christus, der uns selig macht (Johannes-Passion)	Christus, der uns selig macht, St. John Passion	50	2d72ac32-4dc2-48ea-8923-092323882f06		2	56	Christus, der uns selig macht, No. 2	245	Christus, der uns selig macht, No. 2		158	Christus, der uns selig macht, No. 2 (St John Passion, BWV 245)	Johann Sebastian Bach,Chamber Choir Of Europe,Nicol Matt	0	78	classical, classical piano, choral, requiem	Choral Classics: Bach (Chorales), Vol. 2/3	2011-00-00	01:04	16	6	94	0	14	0	10	-22	D Minor	4	2024-07-26	3Lp4d2Wm03X8G4gJJgm0mY	undefined	7A	NLY331107194
4	14	Christus ist erstanden, hat überwunden BWV284	Christus ist erstanden, hat überwunden, BWV 284	51	e089ffbd-53cb-4c93-bc54-94780259f24d		2	57	Christus ist erstanden, hat überwunden	284	Christus ist erstanden, hat überwunden		159	Christus ist erstanden, hat überwunden, BWV 284	Johann Sebastian Bach,Chamber Choir Of Europe,Nicol Matt	1	82	classical, classical piano, choral, requiem	Choral Classics: Bach (Chorales), Vol. 2/3	2011-00-00	00:59	24	11	91	3	45	0	10	-20	E Major	4	2024-07-26	6KMAcJ56wj9s5VDt0QM9eM	undefined	12B	NLY331107195
4	15	Da der Herr Christ zu Tische saß BWV285	Da der Herr Christ zu Tische saß, BWV 285	52	3bd92fe5-5703-4c2c-8621-34f722d96266		2	58	Da der Herr Christ zu Tische saß	285	Da der Herr Christ zu Tische saß		160	Da der Herr Christ zu Tische saß, BWV 285	Johann Sebastian Bach,Chamber Choir Of Europe,Nicol Matt	1	68	classical, classical piano, choral, requiem	Choral Classics: Bach (Chorales), Vol. 2/3	2011-00-00	00:51	23	22	92	0	32	0	30	-17	B Minor	5	2024-07-26	3bUyfFtJsLhH0nikubZ4Cp	undefined	10A	NLY331107196
5	24	Danket dem Herrn, denn er ist freundlich BWV286	Danket dem Herrn, denn er ist freundlich, BWV 286	53	a5b5b0f9-82e3-49f8-b3df-22caea2c1a53		3	22	Danket dem Herrn, denn er ist freundlich	286	Danket dem Herrn, denn er ist freundlich		226	Danket dem Herrn, denn er ist freundlich, BWV 286	Johann Sebastian Bach,Chamber Choir Of Europe,Nicol Matt	0	83	classical, classical piano, choral, requiem	Choral Classics: Bach (Chorales), Vol. 3/3	2011-00-00	00:30	15	17	94	38	48	0	20	-19	G#/A♭ Major	5	2024-07-26	4BF29lGhza7dQ6SpektOgr	undefined	4B	NLY331107262
5	25	Dank sei Gott in der Höhe BWV287	Dank sei Gott in der Höhe, BWV 287	54	dfc53950-3c47-461a-928f-38ef6b2ee92c		3	23	Dank sei Gott in der Höhe	287	Dank sei Gott in der Höhe		227	Dank sei Gott in der Höhe, BWV 287	Johann Sebastian Bach,Chamber Choir Of Europe,Nicol Matt	1	89	classical, classical piano, choral, requiem	Choral Classics: Bach (Chorales), Vol. 3/3	2011-00-00	00:56	20	15	94	0	52	0	10	-19	E Major	3	2024-07-26	4z5tRmu7D5nGHby2WmH0Ib	undefined	12B	NLY331107263
5	26	Das alte Jahr vergangen ist BWV288	Das alte Jahr vergangen ist, BWV 288	55	ffe40ee9-a041-4063-ab33-d42a7738ff69		3	24	Das alte Jahr vergangen ist	288	Das alte Jahr vergangen ist		228	Das alte Jahr vergangen ist, BWV 288	Johann Sebastian Bach,Chamber Choir Of Europe,Nicol Matt	1	70	classical, classical piano, choral, requiem	Choral Classics: Bach (Chorales), Vol. 3/3	2011-00-00	00:55	21	12	96	21	39	0	10	-23	C♯/D♭ Minor	3	2024-07-26	1mYbW9T8uN7yVn370X2MsT	undefined	12A	NLY331107264
3	2	Das neugeborne Kindelein (Cantata BWV122)	Das neugeborne Kindelein, Cantata BWV 122	57	dc9c84de-bd93-4a1d-b66a-bb06a1a8ef64		2	4	Das neugeborne Kindelein	122	Das neugeborne Kindelein		106	Das neugeborne Kindelein (Cantata, BWV 122)	Johann Sebastian Bach,Chamber Choir Of Europe,Nicol Matt	1	81	classical, classical piano, choral, requiem	Choral Classics: Bach (Chorales), Vol. 2/3	2011-00-00	01:09	22	15	91	0	20	0	20	-18	F#/G♭ Minor	5	2024-07-26	3v9bLqwnJReNw0DS9ejX4F	undefined	11A	NLY331107142
5	27	Das walt. Gott Vater und Gott Sohn BWV290	Das walt' Gott Vater und Gott Sohn, BWV 290	58	8d9316d3-45e0-411e-ae9b-8c62712b1a61		3	25	Das walt' Gott Vater und Gott Sohn	290	Das walt' Gott Vater und Gott Sohn		229	Das walt' Gott Vater und Gott Sohn, BWV 290	Johann Sebastian Bach,Chamber Choir Of Europe,Nicol Matt	1	0	classical, classical piano, choral, requiem	Choral Classics: Bach (Chorales), Vol. 3/3	2011-00-00	00:35	0	19	89	22	0	0	10	-18	E Major	0	2024-07-26	0ruCwBmx1rHNDHbPNvAxqe	undefined	12B	NLY331107265
